"Order Number",SKU,Price,Quantity,"Discount Percent","Discount Amount",Amount,"Brand ID of SKU"
1210000467,154393,169.0000,1,,0.0000,169.0000,
1210000467,151904,75.0000,1,,0.0000,75.0000,
1210000467,151899,127.0000,1,,0.0000,127.0000,
1210000466,153576,144.0000,4,,0.0000,576.0000,
1210000465,156727,795.0000,1,,0.0000,795.0000,
1210000464,156733,795.0000,1,,0.0000,795.0000,
1210000463,155880,249.0000,1,,0.0000,249.0000,
1210000463,154410,299.0000,1,,0.0000,299.0000,
1210000463,154393,169.0000,1,,0.0000,169.0000,
1210000463,154339,779.0000,1,,0.0000,779.0000,
1210000462,151899,127.0000,1,,0.0000,127.0000,
1210000462,154393,169.0000,1,,0.0000,169.0000,
1210000462,154556,150.0000,1,,0.0000,150.0000,
1210000461,153576,144.0000,3,,0.0000,432.0000,
1210000460,156733,795.0000,2,,0.0000,"1,590.0000",
1210000459,153576,144.0000,6,,0.0000,864.0000,
1210000458,156397,29.0000,30,,0.0000,870.0000,
1210000457,152734,136.5000,25,,0.0000,"3,412.5000",
1210000457,156397,29.0000,10,,0.0000,290.0000,
1210000456,152734,136.5000,2,,0.0000,273.0000,
1210000455,152734,136.5000,2,,0.0000,273.0000,
1210000454,156733,795.0000,1,,0.0000,795.0000,
1210000453,141001FP,180.0000,1,,0.0000,180.0000,
1210000453,152576PSMC,260.0000,2,,0.0000,520.0000,
1210000452,121575,446.0000,2,,0.0000,892.0000,
1210000451,152574PS4C,520.0000,1,,0.0000,520.0000,
1210000450,121565,446.0000,1,,0.0000,446.0000,
1210000450,155089,173.2500,1,,0.0000,173.2500,
1210000449,153576,144.0000,10,,0.0000,"1,440.0000",
1210000448,152734,136.5000,1,,0.0000,136.5000,
1210000448,156397,29.0000,4,,0.0000,116.0000,
1210000447,154394,335.0000,1,,0.0000,335.0000,
1210000447,151888,75.0000,1,,0.0000,75.0000,
1210000447,151886,140.0000,1,,0.0000,140.0000,
1210000446,152734,136.5000,1,,0.0000,136.5000,
1210000445,151933,340.0000,1,,0.0000,340.0000,
1210000444,155113,"1,050.0000",1,,0.0000,"1,050.0000",
1210000443,155615,173.2500,1,,0.0000,173.2500,
1210000442,151896,129.0000,1,,0.0000,129.0000,
1210000442,151899,127.0000,1,,0.0000,127.0000,
1210000441,152734,136.5000,4,,0.0000,546.0000,
1210000441,156397,29.0000,3,,0.0000,87.0000,
1210000440,121565,446.0000,5,,0.0000,"2,230.0000",
1210000439,152734,136.5000,1,,0.0000,136.5000,
1210000439,156397,29.0000,1,,0.0000,29.0000,
1210000438,152734,136.5000,2,,0.0000,273.0000,
1210000437,153576,144.0000,5,,0.0000,720.0000,
1210000436,153576,144.0000,1,,0.0000,144.0000,
1210000435,151887,82.0000,1,,0.0000,82.0000,
1210000435,151904,75.0000,1,,0.0000,75.0000,
1210000435,151899,127.0000,1,,0.0000,127.0000,
1210000435,151894,95.0000,1,,0.0000,95.0000,
1210000434,140503,125.0000,2,,0.0000,250.0000,
1210000433,152734,136.5000,2,,0.0000,273.0000,
1210000432,156397,29.0000,1,,0.0000,29.0000,
1210000432,152734,136.5000,2,,0.0000,273.0000,
1210000431,156397,29.0000,3,,0.0000,87.0000,
1210000431,152734,136.5000,4,,0.0000,546.0000,
1210000430,154394,335.0000,1,,0.0000,335.0000,
1210000430,151896,129.0000,1,,0.0000,129.0000,
1210000429,152574PS,520.0000,1,,0.0000,520.0000,
1210000428,152734,136.5000,2,,0.0000,273.0000,
1210000427,154915BX,"1,325.0000",1,,0.0000,"1,325.0000",
1210000427,141743,275.0000,2,,0.0000,550.0000,
1210000426,152734,136.5000,3,,0.0000,409.5000,
1210000426,156397,29.0000,5,,0.0000,145.0000,
1210000425,153576,144.0000,25,,0.0000,"3,600.0000",
1210000424,153576,144.0000,9,,0.0000,"1,296.0000",
1210000424,153576PS,0.0000,6,,0.0000,0.0000,
1210000423,140504BX,"1,240.0000",1,,0.0000,"1,240.0000",
1210000422,152734,136.5000,2,,0.0000,273.0000,
1210000420-1,153554,37.4000,1,,0.0000,37.4000,
1210000420-1,141001PS1,180.0000,5,,0.0000,900.0000,
1210000420-1,155340,36.0000,5,,0.0000,180.0000,
1210000420-1,156168,65.0000,1,,0.0000,65.0000,
1210000420-1,153263,59.5000,1,,0.0000,59.5000,
